,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
7412,Dhofar 265,7048.0,Valid,L4,324.3,Found,2001.0,18.60283,54.45517,"(18.602830, 54.455170)"
7413,Dhofar 266,7049.0,Valid,H5,85.6,Found,2001.0,18.75783,54.4365,"(18.757830, 54.436500)"
7414,Dhofar 267,7050.0,Valid,H5,1910.0,Found,2000.0,18.32667,54.21833,"(18.326670, 54.218330)"
7415,Dhofar 268,7051.0,Valid,H4,124.0,Found,2000.0,18.90167,54.56167,"(18.901670, 54.561670)"
7416,Dhofar 269,7052.0,Valid,H5,2006.0,Found,2000.0,19.03833,54.515,"(19.038330, 54.515000)"
7417,Dhofar 270,7053.0,Valid,LL5-6,50.0,Found,2001.0,18.32833,54.15167,"(18.328330, 54.151670)"
7418,Dhofar 271,7054.0,Valid,H4,1335.0,Found,2000.0,18.265,54.045,"(18.265000, 54.045000)"
7419,Dhofar 272,7055.0,Valid,L5,2073.0,Found,2001.0,18.43833,54.11833,"(18.438330, 54.118330)"
7420,Dhofar 273,7056.0,Valid,L5,2085.0,Found,2001.0,18.375,54.14833,"(18.375000, 54.148330)"
7421,Dhofar 274,7057.0,Valid,L6,2475.0,Found,2001.0,18.06333,54.05,"(18.063330, 54.050000)"
7422,Dhofar 275,7058.0,Valid,Eucrite,353.0,Found,2001.0,19.15167,54.775,"(19.151670, 54.775000)"
7423,Dhofar 276,7059.0,Valid,H5,7285.0,Found,2001.0,18.65,54.135,"(18.650000, 54.135000)"
7424,Dhofar 277,7060.0,Valid,L6,1930.0,Found,2001.0,18.34833,54.33667,"(18.348330, 54.336670)"
7425,Dhofar 278,7061.0,Valid,L6,1666.0,Found,2001.0,18.66833,54.66667,"(18.668330, 54.666670)"
7426,Dhofar 279,7062.0,Valid,L6,1932.0,Found,2001.0,18.265,54.33833,"(18.265000, 54.338330)"
7427,Dhofar 280,7063.0,Valid,Lunar (anorth),251.2,Found,2001.0,19.32667,54.78333,"(19.326670, 54.783330)"
7428,Dhofar 281,7064.0,Valid,L3.8,4936.0,Found,2001.0,18.575,54.29833,"(18.575000, 54.298330)"
7429,Dhofar 282,7065.0,Valid,L6,928.0,Found,2001.0,19.03333,54.62833,"(19.033330, 54.628330)"
7430,Dhofar 283,7066.0,Valid,H6,1788.0,Found,2001.0,18.44,54.01833,"(18.440000, 54.018330)"
7431,Dhofar 284,7067.0,Valid,L6,1337.0,Found,2001.0,18.46333,54.03,"(18.463330, 54.030000)"
