,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
930,Tagish Lake,23782.0,Valid,C2-ung,10000.0,Observed,2000.0,59.70444,-134.20139,"(59.704440, -134.201390)"
931,Tahara,23784.0,Valid,H4/5,1000.0,Observed,1991.0,34.72,137.305,"(34.720000, 137.305000)"
932,Takenouchi,23789.0,Valid,H5,720.0,Observed,1880.0,35.38333,134.9,"(35.383330, 134.900000)"
933,Tambakwatu,23795.0,Valid,L6,10500.0,Observed,1975.0,-7.75,112.76667,"(-7.750000, 112.766670)"
934,Tamdakht,48691.0,Valid,H5,100000.0,Observed,2008.0,31.16333,-7.015,"(31.163330, -7.015000)"
935,Tané,23801.0,Valid,L5,905.0,Observed,1918.0,35.43333,136.23333,"(35.433330, 136.233330)"
936,Taonan,23873.0,Valid,L5,3850.0,Observed,1965.0,45.4,122.9,"(45.400000, 122.900000)"
937,Tatahouine,23884.0,Valid,Diogenite,12000.0,Observed,1931.0,32.95,10.41667,"(32.950000, 10.416670)"
938,Tathlith,23885.0,Valid,L6,2500.0,Observed,1967.0,19.38333,43.73333,"(19.383330, 43.733330)"
939,Tauk,23887.0,Valid,L6,6000.0,Observed,1929.0,35.13333,44.45,"(35.133330, 44.450000)"
940,Tauti,23888.0,Valid,L6,21000.0,Observed,1937.0,46.71667,23.5,"(46.716670, 23.500000)"
941,Tenham,23897.0,Valid,L6,160000.0,Observed,1879.0,-25.73333,142.95,"(-25.733330, 142.950000)"
942,Tennasilm,23898.0,Valid,L4,28500.0,Observed,1872.0,58.03333,26.95,"(58.033330, 26.950000)"
943,Thal,23908.0,Valid,H6,342.0,Observed,1950.0,33.4,70.6,"(33.400000, 70.600000)"
944,Thika,54493.0,Valid,L6,14200.0,Observed,2011.0,-1.00278,37.15028,"(-1.002780, 37.150280)"
945,Thuathe,23976.0,Valid,H4/5,45300.0,Observed,2002.0,-29.33333,27.58333,"(-29.333330, 27.583330)"
946,Tianzhang,23984.0,Valid,H5,2232.0,Observed,1986.0,32.94667,118.99,"(32.946670, 118.990000)"
